DOY,Rainfall (mm)
1,0.89
2,0.25
3,0.31
4,0.70
5,0.41
6,0.65
7,1.29
8,1.06
9,1.12
10,0.70
11,0.92
12,1.34
13,0.66
14,0.55
15,0.57
16,0.18
17,0.10
18,0.25
19,0.11
20,0.41
21,0.65
22,0.07
23,0.18
24,0.04
25,0.04
26,0.25
27,0.46
28,0.13
29,0.11
30,0.12
31,0.36
32,1.85
33,1.20
34,0.47
35,0.13
36,0.42
37,0.07
38,0.43
39,0.45
40,0.52
41,0.38
42,0.49
43,0.21
44,0.04
45,0.19
46,0.09
47,0.02
48,0.14
49,0.27
50,0.11
51,0.15
52,0.20
53,0.12
54,0.25
55,0.86
56,0.29
57,0.39
58,0.20
59,0.12
60,0.04
61,0.09
62,0.47
63,0.47
64,0.36
65,0.35
66,0.34
67,0.08
68,0.25
69,0.80
70,0.68
71,0.27
72,0.94
73,0.57
74,0.34
75,0.38
76,0.32
77,0.34
78,0.63
79,0.43
80,0.91
81,0.88
82,0.73
83,0.21
84,0.12
85,0.09
86,0.12
87,0.06
88,0.11
89,0.08
90,0.82
91,0.49
92,0.40
93,1.85
94,1.25
95,0.89
96,1.23
97,0.80
98,0.24
99,0.49
100,0.95
101,1.90
102,1.26
103,3.23
104,1.77
105,1.24
106,1.85
107,2.45
108,2.03
109,0.56
110,0.67
111,1.03
112,1.11
113,2.47
114,1.55
115,1.49
116,0.94
117,0.55
118,0.63
119,0.75
120,1.96
121,2.03
122,1.53
123,2.30
124,4.92
125,2.70
126,2.68
127,2.99
128,5.04
129,1.83
130,2.72
131,2.36
132,1.86
133,3.73
134,2.32
135,2.74
136,2.13
137,3.37
138,3.03
139,2.37
140,2.37
141,1.92
142,2.38
143,0.91
144,1.24
145,2.93
146,3.30
147,2.26
148,2.18
149,1.31
150,1.25
151,3.01
152,1.96
153,2.63
154,1.76
155,2.08
156,3.58
157,1.97
158,1.82
159,1.41
160,1.56
161,1.19
162,1.30
163,1.64
164,1.59
165,1.35
166,1.68
167,1.38
168,1.37
169,1.76
170,1.51
171,0.90
172,1.33
173,2.42
174,1.11
175,1.10
176,0.85
177,1.23
178,0.76
179,0.83
180,0.99
181,1.19
182,2.16
183,2.12
184,0.97
185,1.68
186,1.93
187,0.75
188,1.22
189,1.71
190,2.24
191,1.64
192,2.51
193,1.34
194,1.27
195,1.84
196,2.15
197,1.27
198,1.37
199,1.75
200,2.23
201,0.89
202,3.42
203,2.46
204,1.31
205,0.80
206,3.14
207,3.56
208,1.26
209,1.01
210,1.12
211,3.38
212,4.74
213,2.16
214,1.05
215,1.47
216,1.21
217,1.37
218,0.46
219,1.11
220,1.92
221,3.27
222,2.96
223,2.49
224,2.10
225,2.39
226,3.31
227,3.28
228,4.78
229,4.77
230,4.57
231,3.13
232,3.89
233,3.25
234,3.60
235,3.88
236,4.29
237,3.28
238,2.14
239,3.95
240,2.43
241,2.10
242,1.75
243,3.02
244,3.18
245,5.61
246,3.19
247,2.98
248,3.81
249,2.43
250,2.64
251,1.69
252,2.07
253,3.37
254,3.20
255,4.14
256,4.45
257,2.65
258,3.52
259,3.87
260,2.64
261,3.00
262,2.99
263,1.95
264,2.02
265,1.55
266,2.92
267,3.35
268,5.30
269,4.41
270,4.15
271,4.23
272,4.95
273,6.30
274,2.86
275,3.62
276,2.92
277,4.53
278,5.45
279,4.03
280,3.18
281,5.38
282,3.95
283,4.30
284,4.32
285,4.31
286,4.34
287,3.16
288,4.92
289,7.20
290,5.85
291,5.19
292,6.00
293,6.08
294,8.51
295,6.55
296,7.62
297,6.53
298,6.22
299,4.76
300,4.86
301,5.48
302,6.27
303,5.92
304,5.06
305,7.66
306,5.87
307,8.91
308,7.09
309,5.68
310,6.53
311,7.43
312,6.96
313,6.38
314,3.71
315,4.63
316,2.39
317,2.92
318,4.70
319,4.03
320,4.94
321,5.64
322,4.64
323,2.78
324,5.12
325,5.22
326,7.65
327,6.95
328,5.51
329,6.17
330,5.77
331,7.13
332,7.94
333,6.56
334,5.08
335,4.70
336,4.12
337,4.13
338,4.90
339,2.74
340,2.56
341,2.08
342,2.76
343,3.57
344,3.86
345,3.52
346,4.11
347,6.25
348,3.53
349,2.06
350,1.47
351,3.37
352,3.16
353,3.40
354,1.64
355,1.43
356,1.34
357,0.66
358,0.59
359,0.56
360,0.21
361,0.30
362,1.51
363,1.35
364,1.20
365,1.07
366,1.37
